date,M421,M422,M142,M420,M428,M419,M040
21/07/1985,19.95409,21.61185,14.0743,18.47571,17.84732,19.15137,27.56975
22/07/1985,20.75046,21.99505,14.43856,19.17213,17.76965,19.41686,27.41137
23/07/1985,24.18451,24.91124,19.27497,22.9652,20.11619,22.59951,28.11053
24/07/1985,22.57977,23.75127,20.03508,21.30229,19.29635,21.40176,27.78608
25/07/1985,20.75833,21.05565,18.37868,19.39938,16.49009,18.84454,26.16433
26/07/1985,24.03137,24.96632,18.30371,22.50802,20.13535,22.43068,28.19548
27/07/1985,21.82074,22.50311,17.36579,20.27685,17.82037,19.87576,26.1061
28/07/1985,22.77684,23.55558,19.71914,21.26985,18.83419,21.15159,26.8673
29/07/1985,20.34574,21.99827,15.70313,18.82858,18.10426,19.45604,27.04561
30/07/1985,21.78173,21.82148,16.92103,20.37885,16.97138,19.2492,27.04509
31/07/1985,21.35205,21.34834,19.8183,20.38455,16.63556,19.15504,26.33885
01/08/1985,21.19856,22.36471,16.57374,20.5781,19.05405,20.50827,27.79274
02/08/1985,18.49137,19.85634,18.33947,17.31256,16.63332,17.51182,26.17833
03/08/1985,16.9035,18.23464,15.78857,15.73881,15.57501,15.57601,27.25884
04/08/1985,19.45887,21.31288,16.06015,17.99713,17.83377,18.8678,27.04036
05/08/1985,20.29259,21.34152,18.84672,19.06723,17.4147,18.82557,26.54613
06/08/1985,23.69788,24.72504,17.05555,22.41726,20.39271,22.39352,28.61518
07/08/1985,20.35667,20.5616,18.16934,19.27798,16.53893,18.31603,26.37223
08/08/1985,18.87456,18.8819,14.32204,18.25308,15.50458,17.17231,27.12284
09/08/1985,18.70069,19.01184,15.3343,17.82402,15.70468,16.77003,26.55306
10/08/1985,21.41252,22.57197,13.43981,20.27326,19.00541,20.43436,28.42679
11/08/1985,22.2341,23.46709,17.30492,21.0287,19.74777,21.10881,28.37124
12/08/1985,19.89121,21.13556,18.82445,18.53795,17.84449,18.85251,27.67818
13/08/1985,20.17158,21.42223,19.18599,18.81176,17.62736,19.11995,26.40965
14/08/1985,20.96293,21.90407,18.83202,19.70441,17.85184,19.49603,26.67556
15/08/1985,21.27492,22.38399,15.59161,20.12264,18.43776,20.0821,26.49014
16/08/1985,20.28322,21.55066,14.20611,19.05005,17.75606,19.25467,26.63466
17/08/1985,20.70104,22.07896,12.15433,19.42879,18.96104,19.91902,28.70192
18/08/1985,20.59878,21.99461,14.36659,19.42823,18.59372,19.80824,28.36901
19/08/1985,22.17641,22.80762,14.39326,20.81023,18.89669,20.36155,27.57577
20/08/1985,19.89117,20.73676,15.3974,18.66252,17.40334,18.32103,27.47126
21/08/1985,19.64945,20.64093,13.57848,18.33235,17.07847,18.09855,27.15276
22/08/1985,20.40828,21.82702,14.19369,19.05134,18.22706,19.48674,28.00995
23/08/1985,20.49066,21.85784,15.09909,19.1539,18.1359,19.35256,27.25482
24/08/1985,21.66716,22.89993,16.25451,20.13609,18.84982,20.47345,27.00096
25/08/1985,23.39048,24.23578,21.76279,22.17418,20.01866,22.02135,27.84412
26/08/1985,23.1289,23.52344,19.35566,21.99947,19.24932,21.61263,27.95132
27/08/1985,23.76715,25.11925,17.29751,22.34007,21.0908,22.70525,29.05113
28/08/1985,20.84206,21.69005,16.19185,19.55588,17.73506,19.13111,26.78065
29/08/1985,20.71104,21.99416,16.41155,19.39839,18.55578,19.58568,28.63503
30/08/1985,22.02513,23.14739,19.42074,20.82265,19.64924,20.8131,28.18423
31/08/1985,24.20593,25.0597,17.52686,22.67499,20.93239,22.60237,29.41964
01/09/1985,22.49462,23.93852,16.64724,21.06861,20.18334,21.52144,28.15385
02/09/1985,19.19024,20.67328,16.33816,18.06199,17.56544,18.31758,28.50642
03/09/1985,19.86378,21.17908,15.78613,18.68878,17.62922,18.74329,26.62591
04/09/1985,19.75098,21.78747,15.01292,18.36439,18.8867,19.60885,26.8022
05/09/1985,18.54648,20.045,15.5488,17.22143,17.28812,17.78163,27.49316
06/09/1985,20.29283,21.70247,17.29153,18.8514,18.1412,19.25946,27.44758
07/09/1985,21.16391,22.29004,17.00524,19.50998,18.66591,19.79329,27.72746
08/09/1985,21.19089,21.40834,15.68414,20.12538,17.77217,19.64422,26.95789
09/09/1985,22.35783,22.77489,18.01654,21.38711,18.57541,20.52477,27.31856
10/09/1985,22.39436,22.79245,17.15615,21.22068,18.84766,20.54716,26.73246
