date,M421,M422,M142,M420,M428,M419,M040
26/06/1985,16.06549,17.11532,0.658613,15.15475,13.08092,14.88984,24.31484
27/06/1985,15.53892,16.66127,0.733588,14.96265,12.7669,14.69228,24.01954
28/06/1985,14.51404,15.34524,1.384383,13.7712,11.87977,13.30045,24.49265
29/06/1985,13.61866,14.67494,2.151631,12.60912,11.65222,12.66247,23.97882
30/06/1985,13.19639,14.14959,2.858195,12.30818,10.97138,12.5745,23.32312
01/07/1985,11.42374,12.1586,1.970865,10.66479,9.912515,11.12394,23.80853
02/07/1985,11.47937,12.00104,1.651939,11.14889,9.266282,10.69523,22.6395
03/07/1985,12.58899,13.211,1.973038,11.99114,9.998975,11.54823,22.15298
04/07/1985,13.08674,13.99015,1.726103,12.40242,10.81924,12.27093,22.86805
05/07/1985,11.77992,12.5355,1.816945,10.89924,9.656775,10.7928,22.27477
06/07/1985,12.63125,13.36822,2.305003,12.08824,10.50993,11.77936,22.4075
07/07/1985,12.77976,13.64524,2.459945,11.81013,10.26359,11.53797,22.81798
08/07/1985,10.80471,11.89042,3.085321,10.50187,9.450767,10.58823,22.48794
09/07/1985,11.58761,12.44495,3.339377,10.83538,9.573713,10.9381,22.65547
10/07/1985,11.812,12.56676,2.15938,11.03782,9.810001,10.69175,22.51224
11/07/1985,12.40366,13.2056,1.616466,11.92218,10.1354,11.41004,22.34074
12/07/1985,12.59982,13.45639,1.335671,12.08934,10.46011,11.72694,23.16883
13/07/1985,12.33116,13.42754,1.341738,11.78321,10.40285,11.76039,23.00098
14/07/1985,11.78424,12.85826,1.623976,11.43969,9.972374,11.3825,22.37714
15/07/1985,11.61953,12.72479,1.881897,11.15941,9.784431,11.16843,22.26645
16/07/1985,11.62402,12.69017,2.163696,11.30259,9.648631,11.1362,22.02829
17/07/1985,10.99073,12.00233,2.005106,10.85065,9.319317,10.58799,21.66683
18/07/1985,11.07908,12.46271,2.212874,10.62686,9.735589,10.93259,21.99755
19/07/1985,11.39886,12.47048,1.558165,11.01206,9.744772,11.04034,21.85129
20/07/1985,11.63767,12.79067,1.254872,11.39468,9.890354,11.48381,22.72066
21/07/1985,11.40156,12.62161,2.405544,10.85243,9.746429,11.10454,21.9188
22/07/1985,10.09525,11.18078,2.886298,9.505883,8.644514,9.723986,21.22999
23/07/1985,9.593582,10.39389,2.08421,8.750419,7.995171,9.087549,21.73726
24/07/1985,10.31503,11.33167,1.948522,9.999899,8.799004,10.37547,21.98071
25/07/1985,11.53055,12.35052,1.565696,10.85329,9.726622,11.09891,22.33485
26/07/1985,11.79454,12.66587,2.014352,11.34953,9.932616,11.55135,21.86374
27/07/1985,10.87763,11.65152,3.150331,10.52893,9.124734,10.59168,22.16999
28/07/1985,12.05641,12.79593,2.678499,11.34635,10.02539,11.43784,21.78352
29/07/1985,13.36822,13.9409,1.742333,12.78327,10.81711,12.37203,22.24116
30/07/1985,12.00953,12.80277,1.995264,11.71381,10.14707,11.40073,22.64253
31/07/1985,11.97712,12.78714,3.705061,11.30573,10.29734,11.32806,22.47613
01/08/1985,11.43614,12.24245,3.326316,10.9067,9.971665,11.06487,21.52715
02/08/1985,12.08777,12.83943,2.816047,11.52469,10.02757,11.32054,22.35122
03/08/1985,11.7006,12.20297,1.971134,11.53276,9.504138,10.59617,22.20697
04/08/1985,10.3474,11.76179,2.183673,10.16688,9.446082,10.60984,21.10343
05/08/1985,11.14269,12.18525,2.283505,10.65604,9.773309,10.82586,21.86778
06/08/1985,11.49809,12.81743,2.873339,10.30735,10.29296,10.91566,22.08486
07/08/1985,11.41574,12.34217,1.848675,10.8049,10.10991,11.12527,22.13005
08/08/1985,12.83108,13.50411,1.442872,12.34257,10.69885,12.20224,23.43921
09/08/1985,12.33653,12.96908,2.055498,11.94753,10.36855,11.57305,22.74803
10/08/1985,12.24272,12.90305,1.48788,11.8332,10.24219,11.47095,22.31804
11/08/1985,10.7077,11.82298,2.61955,9.993535,9.407822,10.3691,21.40233
12/08/1985,12.75072,13.36104,1.683938,12.06251,10.16881,11.55206,21.53211
13/08/1985,12.54478,13.29946,1.503246,12.19003,10.63357,11.82873,21.31226
14/08/1985,10.20708,11.1676,2.770342,9.776895,8.800881,10.08901,21.39136
15/08/1985,11.79009,12.65606,1.843643,10.99954,10.07039,11.15031,21.34419
16/08/1985,12.32906,13.11432,2.089733,12.0669,10.36812,11.8791,21.34857
17/08/1985,11.73196,12.3216,2.28182,11.39392,9.896781,11.04177,20.97123
18/08/1985,11.25265,12.0128,2.656406,10.93326,9.756312,10.75384,21.75214
19/08/1985,11.05622,11.81832,2.123177,10.84451,9.610058,10.71704,21.91401
20/08/1985,11.45505,12.21948,1.850641,11.0405,9.862628,11.06273,22.08144
21/08/1985,12.79856,13.70781,1.893307,12.05503,11.0723,12.06952,22.60879
22/08/1985,12.38101,13.33251,1.60682,11.7381,10.69547,11.73912,22.82438
23/08/1985,11.77727,12.80471,2.752438,11.26864,10.25851,11.30258,21.98406
24/08/1985,12.37938,13.34931,2.265889,11.69857,10.67189,11.70671,22.1758
25/08/1985,11.03095,11.86617,3.386134,10.48667,9.733912,10.64803,22.27343
26/08/1985,11.86142,12.7979,1.933433,10.76215,10.31004,11.50681,22.00227
27/08/1985,11.76286,12.42588,2.400585,11.21783,10.21323,11.46628,22.35825
28/08/1985,12.62398,13.1744,2.030659,11.8706,10.54344,11.71016,22.44193
29/08/1985,12.37083,13.02518,1.880175,11.6983,10.35625,11.34281,21.81175
30/08/1985,11.44451,12.48281,2.096782,10.64479,10.22785,11.01328,21.86851
31/08/1985,10.77753,11.81925,2.571343,10.3499,9.721309,10.65765,21.10769
01/09/1985,12.07401,13.2337,2.435755,11.35663,11.14854,11.69842,23.12209
02/09/1985,12.46111,13.52247,2.389015,11.96181,11.18614,11.79433,23.60769
03/09/1985,12.61378,13.73395,2.037164,12.08022,11.3456,11.98562,23.20076
04/09/1985,12.20911,13.02526,1.627397,11.68143,10.6446,11.5362,23.58347
05/09/1985,12.13008,13.08927,1.926897,11.88609,10.77068,11.59233,22.54921
06/09/1985,11.37393,12.4789,2.293533,10.78041,10.29316,10.91094,22.06311
07/09/1985,11.25802,12.31391,2.327246,10.91578,10.66666,10.9914,23.78069
08/09/1985,12.14305,13.26724,1.7064,10.91606,10.94613,11.5016,23.535
09/09/1985,10.19352,11.45003,1.67867,9.644101,10.03165,10.70856,22.80843
10/09/1985,10.71835,11.62119,2.435012,9.988758,10.19784,10.69804,22.2671
11/09/1985,12.40051,13.15682,1.580017,12.17103,11.15928,12.00106,22.6838
12/09/1985,11.55814,12.62405,3.313341,11.24359,11.14139,11.67068,23.13315
13/09/1985,11.30759,12.37397,3.831483,11.03028,10.55869,11.22485,22.42185
14/09/1985,12.71629,13.72303,3.015101,12.47986,11.69629,12.57572,23.12987
15/09/1985,12.46626,13.44544,2.303026,12.05056,11.19532,12.05428,22.90558
16/09/1985,11.3498,12.51257,2.943768,11.18107,10.74902,11.3129,22.35999
17/09/1985,13.11849,13.97694,2.164747,12.76391,11.75015,12.52512,23.58861
18/09/1985,12.25562,12.93059,3.194632,12.09661,10.50172,11.57007,22.88413
19/09/1985,11.92666,12.86375,3.010749,11.64452,11.01141,11.58301,23.21745
20/09/1985,11.47724,12.31438,3.019386,11.18268,10.4421,11.23536,22.55128
21/09/1985,11.35247,12.18789,3.426289,11.0759,10.44175,11.02777,22.97786
22/09/1985,10.91781,11.98121,3.41334,10.36859,10.15288,10.65682,23.11231
23/09/1985,10.82392,11.78831,2.911958,10.27909,10.26926,10.50149,22.85802
24/09/1985,12.19145,13.0682,2.64901,12.05627,11.21392,11.92312,23.259
25/09/1985,12.12502,12.78521,2.843302,11.92796,10.53653,11.66572,23.35962
26/09/1985,13.20532,14.14221,3.350501,13.07964,11.99431,12.92677,24.35373
27/09/1985,13.22704,14.05623,2.931752,12.94662,11.61558,12.91667,24.68044
28/09/1985,11.65708,12.51555,3.291046,11.18902,10.59434,11.53134,24.08966
29/09/1985,12.49332,13.22921,2.41748,12.89923,10.96257,12.3511,23.60762
30/09/1985,12.23951,13.19558,2.034077,12.08321,11.14995,12.04598,23.52754
01/10/1985,12.17116,13.67318,2.257535,11.02136,12.00895,12.34926,23.41266
02/10/1985,13.77305,15.23544,1.459451,12.77783,13.28178,13.81236,24.16149
03/10/1985,13.29285,14.58433,2.290768,12.25918,12.3203,12.95557,23.17467
04/10/1985,13.33472,14.39403,2.157006,12.6558,12.01099,12.69434,23.27062
05/10/1985,13.54812,14.63146,1.835143,12.52309,12.2534,12.8176,23.30546
06/10/1985,12.94674,14.07896,2.700457,11.87104,12.11792,12.79176,23.72312
07/10/1985,12.73865,13.98198,3.489458,11.59439,12.03305,12.55714,23.0222
08/10/1985,12.67112,14.26949,3.120066,11.6789,12.3452,12.94183,22.3918
09/10/1985,13.25391,14.75872,3.665153,12.31195,12.83219,13.49046,23.7871
10/10/1985,13.93753,14.93715,2.937529,13.20224,12.69674,13.60247,23.73785
11/10/1985,13.98565,15.09872,3.655933,13.31946,12.43969,13.71174,23.22083
12/10/1985,13.77913,14.88291,3.373502,12.87394,12.33059,13.08851,22.73589
13/10/1985,13.68574,15.16017,3.486965,12.51987,12.79598,13.24004,23.13001
14/10/1985,13.30726,14.92345,3.218576,12.21706,12.81413,13.12055,24.0762
15/10/1985,12.17486,13.38683,2.929836,11.02609,11.61119,11.9047,22.76555
16/10/1985,13.05732,14.46959,3.536876,11.8595,12.54467,12.86954,23.96897
17/10/1985,14.14973,15.50774,2.438708,12.92995,13.31904,13.94898,25.06246
18/10/1985,14.41756,15.6046,2.346412,13.99338,13.18443,14.18937,23.99807
19/10/1985,12.23786,13.25577,2.113433,11.11737,11.14234,11.76136,23.21354
20/10/1985,13.20351,14.37798,2.232841,12.34386,12.27474,12.74377,24.32436
21/10/1985,11.93905,12.68955,2.431773,11.07282,10.54575,11.18928,23.22565
22/10/1985,10.45189,11.92139,3.838585,9.789183,10.30299,10.93158,23.01738
23/10/1985,10.58629,11.51411,2.762418,10.5097,10.03664,11.20438,22.58677
24/10/1985,10.85524,11.71627,4.285559,10.77385,10.0485,11.39023,21.9767
25/10/1985,9.294162,10.81332,2.929218,9.003166,9.383298,10.10149,21.55054
26/10/1985,8.36373,9.861042,3.072313,7.804771,8.759407,9.201158,23.11598
27/10/1985,7.863739,9.113808,3.502638,7.141729,8.245605,8.53269,22.82867
28/10/1985,9.341311,10.22014,2.377191,8.859699,8.325572,9.285238,22.67006
29/10/1985,9.087343,10.43268,2.215284,8.309423,9.141726,9.610674,22.75756
30/10/1985,10.26769,11.79395,3.362119,9.108242,10.21311,10.78819,22.33965
31/10/1985,10.19391,11.59207,1.818841,9.151408,10.03607,10.6925,22.32791
01/11/1985,10.10654,12.16926,2.063847,7.535543,9.884604,10.07163,21.51208
02/11/1985,9.619142,11.54289,2.173464,7.605139,9.616988,9.932529,20.86354
03/11/1985,8.109058,9.747358,2.242749,6.746919,8.746126,9.146384,21.2378
04/11/1985,8.778952,10.00405,2.684626,7.243691,8.346622,8.69608,20.89751
05/11/1985,8.701426,10.5118,2.43892,7.759202,9.460236,9.80995,20.42045
06/11/1985,10.18799,11.61107,1.919149,9.737861,9.799146,11.09411,20.43544
07/11/1985,13.17881,14.71816,3.458514,12.70928,12.19463,13.78699,21.84917
08/11/1985,13.90796,15.43194,3.420043,12.92969,12.73386,14.00787,23.05024
09/11/1985,14.54169,15.86179,3.295326,13.40652,13.23594,14.17088,24.44489
10/11/1985,14.0501,15.61121,2.973625,12.82865,13.17831,13.94482,24.06704
11/11/1985,14.23314,15.61981,3.359449,13.42145,13.22983,14.21656,24.17647
